Date,ball1,ball2,ball3,ball4,ball5,ball6
16.01.19,13,18,35,43,51,66
16.01.21,2,12,32,57,61,81
16.01.23,4,5,8,14,32,49
16.01.26,24,45,50,60,63,87
16.01.28,2,6,15,39,80,83
16.01.30,13,24,51,68,77,81
16.02.02,19,38,40,56,65,80
16.02.04,7,21,31,39,46,69
16.02.06,10,24,36,63,77,89
16.02.09,11,26,46,56,58,78
16.02.11,17,27,45,53,71,74
16.02.13,2,30,49,66,74,80
16.02.16,2,10,27,34,38,40
16.02.18,12,26,30,51,57,89
16.02.20,29,32,33,49,54,85
16.02.23,2,14,58,74,80,82
16.02.25,14,33,52,67,71,81
16.02.27,19,22,28,48,49,85
16.03.01,15,20,25,30,45,55
16.03.03,8,16,29,49,56,62
16.03.05,6,8,68,77,80,86
16.03.08,8,27,32,51,52,89
16.03.10,9,16,18,22,65,71
16.03.12,29,37,52,67,80,82
16.03.15,2,4,17,19,38,56
16.03.17,1,12,65,67,76,86
16.03.19,18,41,51,56,72,76
16.03.22,17,31,32,43,59,71
16.03.24,14,24,26,57,67,89
16.03.26,28,43,67,68,72,79
16.03.29,29,55,65,71,73,77
16.03.31,17,28,63,78,84,88
16.04.02,2,24,65,75,81,88
16.04.05,12,23,28,32,42,85
16.04.07,38,42,45,59,66,87
16.04.09,2,5,12,33,54,59
16.04.12,34,50,55,72,79,89
16.04.14,1,2,6,42,67,83
16.04.16,8,12,23,58,86,89
16.04.19,14,30,61,86,88,90
16.04.21,1,15,30,50,54,62
16.04.23,10,11,15,33,79,83
16.04.26,38,49,51,59,77,90
16.04.28,10,11,24,30,48,63
16.04.30,22,38,47,51,61,85
16.05.03,14,29,58,72,75,85
16.05.05,7,20,25,32,75,90
16.05.07,3,32,34,36,82,87
16.05.10,25,26,49,54,55,66
16.05.12,10,25,52,54,59,84
16.05.14,11,19,56,72,73,75
16.05.17,1,10,19,44,68,74
16.05.19,15,39,54,62,71,74
16.05.21,9,11,20,35,66,68
16.05.24,14,16,45,47,48,86
16.05.26,1,32,34,58,64,86
16.05.28,3,5,12,17,44,51
16.05.31,8,18,33,41,62,71
16.06.04,8,10,18,64,85,87
16.06.06,3,54,56,57,75,90
16.06.07,24,29,45,63,65,70
16.06.09,9,14,61,76,80,83
16.06.11,27,30,34,40,52,68
16.06.14,25,31,33,42,58,86
16.06.16,18,19,29,47,59,68
16.06.18,24,25,45,51,52,63
16.06.21,4,30,31,45,49,85
16.06.23,17,18,25,43,66,87
16.06.25,11,14,44,54,85,87
16.06.28,5,23,44,59,60,83
16.06.30,30,31,32,34,50,51
16.07.02,8,9,22,43,50,56
16.07.05,22,26,43,50,59,65
16.07.07,1,4,32,59,70,86
16.07.09,12,34,44,45,53,68
16.07.12,1,41,59,63,81,85
16.07.14,38,56,61,67,72,82
16.07.16,26,37,43,67,75,78
16.07.19,4,10,28,29,48,52
16.07.21,19,27,35,56,60,89
16.07.23,1,30,42,61,76,88
16.07.26,4,13,15,18,72,76
16.07.28,29,37,38,61,63,85
16.07.30,15,22,26,45,48,82
16.08.02,34,54,57,84,89,90
16.08.04,25,37,40,61,65,77
16.08.06,23,34,58,61,71,77
16.08.09,12,27,34,76,77,85
16.08.11,31,65,78,85,89,90
16.08.13,2,25,43,72,87,89
16.08.16,9,12,18,63,64,73
16.08.18,8,39,59,65,82,83
16.08.20,10,29,35,44,49,65
16.08.23,4,28,48,67,68,84
16.08.25,16,28,40,43,57,61
16.08.27,1,32,37,54,66,81
16.08.30,6,9,17,47,66,86
16.09.01,4,18,43,60,69,85
16.09.03,4,29,35,46,82,85
16.09.06,7,30,34,61,84,88
16.09.08,6,12,47,51,60,79
16.09.10,9,13,16,49,64,65
16.09.13,9,22,48,66,68,83
16.09.15,14,18,30,48,53,86
16.09.17,2,4,10,59,68,88
16.09.20,45,46,48,52,77,78
16.09.22,4,11,34,49,55,83
16.09.24,3,16,22,31,45,56
16.09.27,36,41,55,81,83,85
16.09.29,11,40,41,44,67,70
16.10.01,18,19,57,74,80,82
16.10.04,47,49,67,80,84,85
16.10.06,2,12,26,52,59,80
16.10.08,18,25,37,47,62,87
16.10.11,11,12,17,53,71,76
16.10.13,4,34,39,60,61,77
16.10.15,4,7,36,72,78,81
16.10.18,24,44,48,61,73,87
16.10.20,2,43,65,66,67,90
16.10.22,1,6,45,48,64,78
16.10.25,4,40,54,65,83,85
16.10.27,3,12,23,71,76,83
16.10.29,1,7,13,17,40,49
16.10.31,3,14,18,25,47,75
16.11.03,21,35,56,66,68,79
16.11.05,21,22,26,35,47,85
16.11.08,31,32,60,75,81,84
16.11.10,26,41,50,55,69,86
16.11.12,9,12,20,22,75,90
16.11.15,9,18,25,31,78,81
16.11.17,2,20,23,41,44,59
16.11.19,28,29,37,43,51,78
16.11.22,8,21,44,77,80,86
16.11.24,53,68,75,79,82,84
16.11.26,41,42,44,47,68,69
16.11.29,5,24,35,49,62,77
16.12.01,11,20,31,56,63,72
16.12.03,2,10,15,26,68,71
